id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed
185,33,admin.,married,secondary,no,-6,yes,no,unknown,7,may,566,2,-1,0,unknown,no
186,31,services,single,secondary,no,374,no,no,telephone,28,jan,49,4,-1,0,unknown,no
187,48,housemaid,married,tertiary,no,5473,no,no,cellular,24,feb,127,2,184,2,success,yes
188,44,entrepreneur,married,secondary,no,0,no,no,unknown,14,may,211,2,-1,0,unknown,no
189,32,management,single,tertiary,no,0,no,no,cellular,21,nov,9,6,-1,0,unknown,no
190,56,technician,married,tertiary,yes,-736,no,no,cellular,31,jul,258,8,-1,0,unknown,no
191,33,blue-collar,married,secondary,no,523,yes,no,cellular,18,may,18,5,360,5,failure,no
192,53,admin.,married,secondary,no,1796,no,no,telephone,16,mar,295,1,91,2,success,yes
193,39,services,single,secondary,no,609,no,no,unknown,5,jun,372,1,-1,0,unknown,no
194,41,blue-collar,married,secondary,no,449,yes,yes,cellular,12,may,313,2,-1,0,unknown,no
195,26,student,single,unknown,no,2503,no,no,cellular,30,apr,121,1,63,2,failure,no
196,32,technician,single,tertiary,no,4071,no,no,cellular,30,jun,319,2,-1,0,unknown,yes
197,54,technician,married,secondary,no,472,yes,yes,unknown,17,nov,229,2,150,1,failure,no
198,59,admin.,divorced,secondary,no,3304,yes,no,unknown,2,jun,250,2,-1,0,unknown,no
199,42,blue-collar,married,primary,no,-571,yes,yes,telephone,21,nov,136,2,179,4,failure,no
200,76,retired,married,primary,no,3324,no,no,cellular,13,aug,227,2,192,1,failure,yes
201,30,services,single,secondary,no,1510,yes,no,cellular,18,nov,191,1,-1,0,unknown,no
202,38,blue-collar,married,primary,no,1576,yes,no,cellular,16,apr,144,1,328,2,other,no
203,35,self-employed,married,secondary,no,347,no,no,unknown,20,jun,231,1,-1,0,unknown,no
204,21,student,single,unknown,no,330,no,no,cellular,19,apr,232,3,364,2,failure,no
205,57,retired,married,secondary,no,3815,no,no,telephone,20,nov,90,2,-1,0,unknown,no
206,31,blue-collar,married,secondary,no,631,yes,no,cellular,20,apr,211,2,152,2,failure,no
207,36,admin.,married,secondary,no,162,yes,yes,cellular,20,apr,340,2,-1,0,unknown,no
208,50,blue-collar,divorced,secondary,no,-1,yes,no,telephone,20,apr,151,1,-1,0,unknown,no
209,37,blue-collar,married,secondary,no,453,yes,yes,unknown,23,may,98,1,-1,0,unknown,no
210,33,technician,married,secondary,no,133,no,no,cellular,12,nov,627,2,192,1,success,yes
211,57,retired,married,secondary,no,712,yes,yes,unknown,19,jun,824,1,-1,0,unknown,no
212,30,admin.,single,tertiary,no,0,yes,no,cellular,4,feb,730,2,-1,0,unknown,yes
213,38,admin.,divorced,secondary,no,4630,yes,no,unknown,3,jun,133,3,-1,0,unknown,no
214,39,housemaid,married,secondary,no,633,no,no,unknown,9,jun,233,1,-1,0,unknown,no
215,55,technician,married,unknown,no,84,yes,no,unknown,8,may,166,1,-1,0,unknown,no
216,48,management,single,tertiary,no,648,yes,no,cellular,31,jul,462,2,-1,0,unknown,no
217,55,blue-collar,married,primary,no,4103,no,no,cellular,19,nov,291,1,-1,0,unknown,no
218,40,management,married,tertiary,no,406,no,no,unknown,6,jun,262,1,-1,0,unknown,no
219,37,blue-collar,married,secondary,no,723,yes,no,cellular,18,nov,119,1,110,2,failure,no
220,29,student,single,tertiary,no,5,no,no,cellular,15,jul,889,5,-1,0,unknown,yes
221,33,admin.,married,secondary,no,7,yes,no,cellular,20,nov,203,1,-1,0,unknown,no
222,43,technician,married,secondary,no,186,yes,no,cellular,19,nov,137,1,-1,0,unknown,no
223,42,management,married,tertiary,no,372,yes,no,cellular,4,aug,153,3,1,2,success,yes
224,46,entrepreneur,married,secondary,no,3317,no,no,cellular,19,nov,231,2,-1,0,unknown,no
225,30,blue-collar,married,secondary,no,-2,yes,no,unknown,9,may,136,2,-1,0,unknown,no
226,47,services,married,secondary,no,-553,yes,no,cellular,13,may,8,7,-1,0,unknown,no
227,30,admin.,single,tertiary,no,739,yes,no,cellular,17,apr,297,1,-1,0,unknown,no
228,57,services,single,secondary,no,2236,yes,no,telephone,20,nov,51,8,190,2,failure,no
229,32,admin.,married,secondary,no,20011,no,no,cellular,20,apr,234,1,-1,0,unknown,no
230,44,admin.,married,secondary,no,345,yes,no,telephone,16,jul,208,8,-1,0,unknown,no
231,30,services,single,secondary,no,20,yes,no,cellular,20,apr,404,6,340,1,failure,no
232,47,blue-collar,single,primary,no,10558,yes,no,cellular,13,may,81,3,174,2,other,no
233,41,admin.,married,secondary,no,3138,no,no,cellular,14,sep,409,1,398,1,failure,yes
234,33,technician,married,secondary,no,603,yes,no,unknown,20,may,345,1,-1,0,unknown,no
235,42,unknown,single,unknown,no,942,no,no,cellular,27,jan,245,1,92,2,success,yes
236,34,services,married,secondary,no,254,yes,no,cellular,28,jul,276,2,-1,0,unknown,no
237,38,technician,married,secondary,no,5115,yes,no,cellular,27,feb,99,1,102,6,success,yes
238,51,services,married,secondary,no,53,no,yes,cellular,24,jul,192,1,-1,0,unknown,no
239,47,blue-collar,single,secondary,yes,-380,no,no,cellular,9,jul,399,17,-1,0,unknown,no
240,57,entrepreneur,married,secondary,no,5657,yes,no,unknown,12,jun,146,1,-1,0,unknown,no
241,33,management,married,tertiary,no,137,yes,yes,cellular,21,aug,70,2,-1,0,unknown,no
242,46,management,married,tertiary,no,716,yes,yes,cellular,17,nov,106,1,-1,0,unknown,no
243,33,admin.,married,secondary,no,796,yes,no,telephone,6,apr,216,1,-1,0,unknown,no
244,67,retired,married,secondary,no,1146,no,no,cellular,13,aug,187,2,-1,0,unknown,no
245,49,admin.,married,secondary,no,387,yes,no,unknown,14,may,347,1,-1,0,unknown,no
246,32,technician,divorced,tertiary,no,3628,no,no,cellular,18,aug,130,2,-1,0,unknown,no
247,50,blue-collar,married,secondary,no,887,no,no,unknown,16,jun,287,1,-1,0,unknown,no
248,41,blue-collar,married,secondary,no,-217,yes,no,cellular,11,may,313,1,349,3,other,no
249,38,admin.,divorced,secondary,no,661,yes,no,unknown,30,may,160,1,-1,0,unknown,no
250,54,blue-collar,married,primary,no,489,yes,yes,cellular,20,apr,280,4,287,3,other,no
251,31,admin.,married,secondary,no,752,yes,no,unknown,14,may,178,1,-1,0,unknown,no
252,34,admin.,married,secondary,no,-549,yes,yes,unknown,27,may,405,1,-1,0,unknown,no
253,32,blue-collar,married,secondary,no,-103,yes,no,cellular,14,may,298,1,-1,0,unknown,no
254,36,services,married,secondary,no,297,yes,yes,cellular,15,jul,157,5,-1,0,unknown,no
255,32,blue-collar,single,primary,no,2507,yes,no,unknown,2,jun,215,1,-1,0,unknown,no
256,30,blue-collar,divorced,primary,no,-242,no,yes,cellular,25,jul,124,2,-1,0,unknown,no
257,41,blue-collar,married,unknown,no,402,yes,no,cellular,15,jul,368,2,-1,0,unknown,no
258,27,blue-collar,single,primary,no,0,yes,no,cellular,23,jul,213,1,-1,0,unknown,no
259,45,technician,divorced,secondary,no,5862,yes,no,cellular,18,nov,352,1,110,3,other,no
260,34,services,married,secondary,no,-538,yes,no,unknown,26,may,682,1,-1,0,unknown,yes
261,42,management,married,tertiary,no,99,no,no,cellular,21,aug,92,4,-1,0,unknown,no
262,38,services,married,secondary,no,0,yes,no,cellular,5,may,263,2,-1,0,unknown,no
263,34,technician,single,secondary,no,112,no,no,cellular,20,aug,123,2,-1,0,unknown,no
264,41,housemaid,single,secondary,no,231,no,no,cellular,9,jul,76,2,-1,0,unknown,no
265,57,unknown,single,secondary,no,316,no,no,unknown,20,jun,8,7,-1,0,unknown,no
266,28,technician,single,tertiary,no,386,no,no,cellular,25,may,867,1,-1,0,unknown,yes
267,52,management,divorced,secondary,no,944,no,yes,unknown,9,jun,119,1,-1,0,unknown,no
268,34,technician,single,tertiary,no,651,no,no,cellular,3,feb,351,3,-1,0,unknown,no
269,40,admin.,married,secondary,no,1010,yes,no,unknown,14,may,283,1,-1,0,unknown,no
270,38,admin.,single,tertiary,no,-898,yes,no,cellular,9,apr,345,2,323,1,failure,no
271,58,blue-collar,divorced,secondary,no,1103,yes,no,cellular,2,feb,226,1,202,4,failure,no
272,49,services,married,primary,no,0,yes,no,cellular,6,may,445,2,166,3,failure,yes
273,42,management,married,tertiary,no,479,yes,no,unknown,28,may,217,2,-1,0,unknown,no
274,43,unemployed,married,primary,no,960,yes,yes,unknown,15,may,241,2,-1,0,unknown,no
275,50,blue-collar,married,secondary,no,181,yes,no,cellular,17,apr,599,2,-1,0,unknown,no
276,28,student,single,tertiary,no,682,yes,no,cellular,29,jan,356,1,255,2,other,no
277,32,technician,divorced,tertiary,no,31,no,yes,cellular,8,jul,259,1,-1,0,unknown,no
278,56,management,married,tertiary,no,247,no,no,cellular,30,jul,44,2,-1,0,unknown,no
279,80,retired,married,primary,no,1468,no,no,cellular,13,jul,256,2,181,3,success,no
280,35,blue-collar,married,secondary,no,126,yes,no,cellular,16,apr,472,1,-1,0,unknown,no
281,40,admin.,divorced,secondary,no,783,yes,yes,unknown,16,may,171,2,-1,0,unknown,no
282,67,admin.,married,primary,no,1093,no,no,telephone,8,jul,64,3,-1,0,unknown,no
283,50,blue-collar,married,unknown,no,452,no,no,cellular,20,aug,181,2,-1,0,unknown,no
284,57,retired,married,primary,no,808,no,no,telephone,7,jul,274,1,-1,0,unknown,no
285,48,blue-collar,divorced,secondary,no,-314,yes,no,cellular,18,may,7,5,-1,0,unknown,no
286,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
287,41,management,married,tertiary,no,5,no,no,unknown,5,jun,178,1,-1,0,unknown,no
288,37,blue-collar,married,secondary,no,1114,yes,yes,cellular,6,may,133,1,-1,0,unknown,no
289,52,services,married,secondary,no,660,no,no,unknown,6,may,201,2,-1,0,unknown,no
290,44,management,married,tertiary,no,792,no,no,cellular,25,aug,630,7,-1,0,unknown,yes
291,41,entrepreneur,married,tertiary,no,2249,yes,no,telephone,16,jul,231,5,-1,0,unknown,no
292,46,services,married,secondary,no,74,yes,no,unknown,15,may,101,4,-1,0,unknown,no
293,50,admin.,divorced,secondary,yes,-500,yes,no,unknown,14,may,148,3,-1,0,unknown,no
294,58,blue-collar,married,primary,no,189,yes,no,telephone,8,apr,119,1,-1,0,unknown,no
295,39,management,divorced,tertiary,no,9541,no,no,unknown,15,may,815,1,-1,0,unknown,no
296,33,admin.,single,secondary,no,303,no,no,cellular,29,jan,483,2,266,1,failure,no
